SOLN       COLUMN
39      2 5 7 1 10 8 6 4
40      2 5 7 4 10 8 6 1
41      2 5 7 4 10 8 6 1
42      2 5 7 4 10 8 6 3
43      2 6 1 7 10 8 3 5
44      2 6 3 7 10 8 5 1
45      2 6 3 7 10 8 5 1
46      2 8 1 7 10 3 6 4
47      2 8 3 7 10 1 6 4
48      2 8 5 3 10 6 4 1
49      2 8 5 3 10 6 4 1
50      2 8 5 7 10 1 6 4
51      2 8 5 7 10 3 6 4
52      2 8 6 1 10 5 7 4
53      3 1 4 7 10 2 5 8
54      3 1 4 7 10 6 2 5
55      3 1 4 8 10 2 7 5
56      3 1 6 2 10 7 4 8
57      3 1 6 2 10 7 4 8
58      3 1 6 4 10 7 5 2
59      3 1 6 8 10 2 7 5
60      3 1 6 8 10 4 7 5
61      3 1 6 8 10 4 7 5
62      3 1 6 8 10 7 4 2
63      3 1 6 8 10 7 4 2
64      3 1 7 5 10 2 4 6
65      3 1 7 5 10 2 4 8
66      3 5 2 8 10 4 7 1
67      3 5 2 8 10 7 1 6
68      3 5 2 8 10 7 4 1
69      3 5 2 8 10 7 4 6
70      3 5 2 8 10 7 4 6
71      3 5 7 1 10 2 6 8
72      3 5 7 2 10 6 4 1
73      3 5 7 2 10 6 4 1
74      3 6 2 5 10 1 4 8
75      3 6 2 5 10 1 7 4
76      3 6 2 7 10 1 5 8
77      3 6 4 1 10 5 2 8
78      3 6 4 1 10 5 7 2
79      3 6 4 2 10 5 7 1
80      3 8 2 4 10 7 5 1
81      3 8 2 5 10 1 4 6
82      3 8 2 5 10 1 7 4
83      3 8 2 7 10 6 1 5
84      3 8 4 1 10 5 2 6
85      3 8 4 2 10 5 7 1
86      3 8 4 2 10 6 1 5
87      3 8 4 7 10 2 5 1
88      3 8 4 7 10 2 6 1
89      3 8 4 7 10 6 1 5
90      3 8 4 7 10 6 2 5
91      3 8 6 1 10 5 7 4
92      3 8 6 2 10 1 7 4
93      3 8 6 2 10 1 7 5
94      3 8 6 2 10 5 1 4
95      3 8 6 2 10 5 7 4
96      3 8 6 2 10 7 1 4
97      4 1 3 8 10 7 2 6
98      4 1 5 2 10 7 3 8
99      4 1 5 8 10 3 7 2
100      4 1 5 8 10 7 2 6
101      4 1 5 8 10 7 3 6
102      4 1 5 8 10 7 3 6
103      4 2 5 8 10 1 3 6
104      4 2 5 8 10 7 3 1
105      4 2 5 8 10 7 3 6
106      4 2 7 3 10 8 1 5
107      4 2 7 3 10 8 5 1
108      4 2 7 5 10 8 1 3
109      4 2 7 5 10 8 6 3
110      4 6 1 3 10 7 2 8
111      4 6 1 3 10 7 2 8
112      4 6 1 3 10 8 2 5
113      4 8 1 3 10 2 7 5
114      4 8 1 3 10 6 2 5
115      4 8 1 5 10 2 6 3
116      4 8 1 5 10 2 7 3
117      4 8 5 3 10 7 2 6
118      5 1 4 6 10 2 7 3
119      5 2 4 1 10 8 6 3
120      5 2 4 1 10 8 6 3
121      5 2 4 7 10 3 1 6
122      5 2 4 7 10 3 1 6
123      5 2 4 7 10 8 3 1
124      5 2 4 7 10 8 6 1
125      5 2 4 7 10 8 6 1
126      5 2 6 3 10 7 1 4
127      5 2 6 3 10 8 1 4
128      5 2 6 3 10 8 1 4
129      5 3 1 4 10 8 6 2
130      5 3 1 6 10 2 4 8
131      5 3 1 7 10 2 6 8
132      5 3 1 7 10 8 2 4
133      5 3 1 7 10 8 6 2
134      5 3 1 7 10 8 6 4
135      5 8 1 3 10 7 2 4
136      5 8 1 7 10 3 6 4
137      5 8 2 7 10 3 1 4
138      5 8 2 7 10 3 1 6
139      5 8 2 7 10 3 1 6
140      5 8 4 1 10 2 6 3
141      5 8 4 1 10 2 6 3
142      5 8 4 1 10 2 7 3
143      5 8 4 7 10 2 6 1
144      5 8 4 7 10 2 6 1
145      5 8 4 7 10 3 1 6
146      5 8 6 1 10 2 7 3
147      5 8 6 3 10 7 1 4
148      5 8 6 3 10 7 1 4
149      7 1 3 5 10 8 4 2
150      7 1 3 8 10 4 2 5
151      7 1 4 2 10 6 3 5
152      7 1 4 2 10 8 3 5
153      7 1 4 6 10 3 5 8
154      7 1 4 6 10 3 5 8
155      7 1 6 2 10 8 3 5
156      7 2 4 1 10 5 3 6
157      7 2 4 1 10 8 5 3
158      7 2 4 1 10 8 6 3
159      7 2 4 8 10 5 3 1
160      7 2 4 8 10 5 3 6
161      7 2 6 1 10 8 5 3
162      7 2 6 8 10 1 3 5
163      7 3 1 6 10 5 2 4
164      7 3 1 6 10 5 2 8
165      7 3 6 2 10 1 4 8
166      7 3 6 2 10 1 4 8
167      7 3 6 8 10 1 4 2
168      7 3 6 8 10 1 4 2
169      7 4 1 3 10 6 2 5
170      7 4 1 8 10 3 6 2
171      7 4 1 8 10 3 6 2
172      7 4 2 5 10 1 3 6
173      7 4 2 5 10 1 3 8
174      7 4 2 8 10 1 3 5
175      7 4 2 8 10 1 3 6
176      7 4 6 1 10 5 3 8
177      7 4 6 8 10 1 3 5
178      7 4 6 8 10 1 3 5
179      7 5 1 8 10 3 6 2
180      7 5 3 1 10 8 2 4
181      7 5 3 1 10 8 6 2
182      7 5 3 1 10 8 6 4
183      7 5 3 1 10 8 6 4
184      7 5 3 8 10 4 6 1
185      8 1 4 2 10 6 3 5
186      8 1 4 6 10 2 5 3
187      8 1 4 6 10 2 7 3
188      8 1 4 6 10 2 7 5
189      8 1 4 6 10 2 7 5
190      8 1 4 7 10 6 3 5
191      8 2 4 1 10 5 3 6
192      8 2 5 1 10 4 6 3
193      8 2 5 1 10 7 3 6
194      8 2 5 3 10 7 4 6
195      8 2 5 3 10 7 4 6
196      8 2 5 7 10 1 3 6
197      8 2 5 7 10 1 6 4
198      8 3 1 6 10 2 7 5
199      8 3 1 6 10 5 7 4
200      8 3 5 2 10 1 6 4
201      8 3 5 2 10 1 7 4
202      8 3 5 7 10 1 6 2
203      8 3 5 7 10 1 6 4
204      8 3 7 2 10 1 6 4
205      8 3 7 2 10 5 1 4
206      8 3 7 2 10 6 1 5
207      8 4 1 3 10 2 7 5
208      8 4 1 7 10 6 3 5
209      8 4 2 7 10 1 3 5
210      8 4 2 7 10 1 3 6
211      8 4 2 7 10 6 1 5
212      8 4 2 7 10 6 3 5
213      8 4 7 1 10 2 5 3
214      8 4 7 1 10 2 6 3
215      8 4 7 3 10 6 1 5
216      8 4 7 3 10 6 1 5
217      8 5 1 6 10 2 7 3
218      8 5 2 4 10 7 3 6
219      8 5 2 6 10 7 1 3
220      8 5 2 6 10 7 1 4
221      8 5 3 6 10 7 1 4
222      8 5 3 6 10 7 1 4
223      8 5 7 1 10 2 6 3
224      8 5 7 2 10 6 1 3
225      8 6 1 3 10 7 4 2
226      8 6 1 3 10 7 4 2
227      8 6 2 7 10 1 3 5
228      8 6 3 1 10 7 5 2
229      8 6 3 7 10 1 5 2
230      8 6 4 1 10 5 7 2

SOLN       COLUMN
 #      1 2 3 4 5 6 7 8


SOLN       COLUMN
 #      1 2 3 4 5 6 7 8

 1      1 5 8 6 3 7 2 4
 2      1 6 8 3 7 4 2 5
 3      1 7 4 6 8 2 5 3
 4      1 7 5 8 2 4 6 3
 5      2 4 6 8 3 1 7 5
 6      2 5 7 1 3 8 6 4
 7      2 5 7 4 1 8 6 3
 8      2 6 1 7 4 8 3 5
 9      2 6 8 3 1 4 7 5
10      2 7 3 6 8 5 1 4
11      2 7 5 8 1 4 6 3
12      2 8 6 1 3 5 7 4
13      3 1 7 5 8 2 4 6
14      3 5 2 8 1 7 4 6
15      3 5 2 8 6 4 7 1
16      3 5 7 1 4 2 8 6
17      3 5 8 4 1 7 2 6
18      3 6 2 5 8 1 7 4
19      3 6 2 7 1 4 8 5
20      3 6 2 7 5 1 8 4
21      3 6 4 1 8 5 7 2
22      3 6 4 2 8 5 7 1
23      3 6 8 1 4 7 5 2
24      3 6 8 1 5 7 2 4
25      3 6 8 2 4 1 7 5
26      3 7 2 8 5 1 4 6
27      3 7 2 8 6 4 1 5
28      3 8 4 7 1 6 2 5
29      4 1 5 8 2 7 3 6
30      4 1 5 8 6 3 7 2
31      4 2 5 8 6 1 3 7
32      4 2 7 3 6 8 1 5
33      4 2 7 3 6 8 5 1
34      4 2 7 5 1 8 6 3
35      4 2 8 5 7 1 3 6
36      4 2 8 6 1 3 5 7
37      4 6 1 5 2 8 3 7
38      4 6 8 2 7 1 3 5
39      4 6 8 3 1 7 5 2
40      4 7 1 8 5 2 6 3
41      4 7 3 8 2 5 1 6
42      4 7 5 2 6 1 3 8
43      4 7 5 3 1 6 8 2
44      4 8 1 3 6 2 7 5
45      4 8 1 5 7 2 6 3
46      4 8 5 3 1 7 2 6
47      5 1 4 6 8 2 7 3
48      5 1 8 4 2 7 3 6
49      5 1 8 6 3 7 2 4
50      5 2 4 6 8 3 1 7
51      5 2 4 7 3 8 6 1
52      5 2 6 1 7 4 8 3
53      5 2 8 1 4 7 3 6
54      5 3 1 6 8 2 4 7
55      5 3 1 7 2 8 6 4
56      5 3 8 4 7 1 6 2
57      5 7 1 3 8 6 4 2
58      5 7 1 4 2 8 6 3
59      5 7 2 4 8 1 3 6
60      5 7 2 6 3 1 4 8
61      5 7 2 6 3 1 8 4
62      5 7 4 1 3 8 6 2
63      5 8 4 1 3 6 2 7
64      5 8 4 1 7 2 6 3
65      6 1 5 2 8 3 7 4
66      6 2 7 1 3 5 8 4
67      6 2 7 1 4 8 5 3
68      6 3 1 7 5 8 2 4
69      6 3 1 8 4 2 7 5
70      6 3 1 8 5 2 4 7
71      6 3 5 7 1 4 2 8
72      6 3 5 8 1 4 2 7
73      6 3 7 2 4 8 1 5
74      6 3 7 2 8 5 1 4
75      6 3 7 4 1 8 2 5
76      6 4 1 5 8 2 7 3
77      6 4 2 8 5 7 1 3
78      6 4 7 1 3 5 2 8
79      6 4 7 1 8 2 5 3
80      6 8 2 4 1 7 5 3
81      7 1 3 8 6 4 2 5
82      7 2 4 1 8 5 3 6
83      7 2 6 3 1 4 8 5
84      7 3 1 6 8 5 2 4
85      7 3 8 2 5 1 6 4
86      7 4 2 5 8 1 3 6
87      7 4 2 8 6 1 3 5
88      7 5 3 1 6 8 2 4
89      8 2 4 1 7 5 3 6
90      8 2 5 3 1 7 4 6
91      8 3 1 6 2 5 7 4
92      8 4 1 3 6 2 7 5
